Ticker,CompanyName,Sector,Industry,Country,MarketCap,PERatio,ForwardPERatio,Dividend,ROE,ROA,Description,Website,LastUpdated
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,,80989192192,45.010418,29.51167,,0.20873,0.046630003,,,2025-01-11
KWEB,KraneShares CSI China Internet ETF,N/A,N/A,,,16.14622,,,,,,,2025-01-11
BXP,"BXP, Inc.",Real Estate,REIT - Office,,12019888128,29.630436,36.6891,0.0575,0.058280002,0.02448,,,2025-01-11
MKTX,MarketAxess Holdings Inc.,Financial Services,Capital Markets,,8123790336,29.155617,26.301046,0.013099999,0.21625,0.1183,,,2025-01-11
HBAN,Huntington Bancshares Incorporated,Financial Services,Banks - Regional,,23274016768,15.553399,11.761598,0.0387,0.08545,0.00865,,,2025-01-11
PHM,"PulteGroup, Inc.",Consumer Cyclical,Residential Construction,,22068873216,7.941697,7.813601,0.0082,0.26705,0.14166,,,2025-01-11
OTIS,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery,,36259074048,22.579601,21.520187,0.0172,,0.14079,,,2025-01-11
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,,67766169600,39.807495,14.946241,0.0175,0.05633,0.032479998,,,2025-01-11
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,,25193938944,16.664246,19.597382,0.0112,0.2911,0.07851,,,2025-01-11
FMC,FMC Corporation,Basic Materials,Agricultural Inputs,,6190617088,4.0680885,10.695545,0.0468,0.38454,0.028269999,,,2025-01-11
KR,The Kroger Co.,Consumer Defensive,Grocery Stores,,42779586560,15.640211,12.466367,0.0214,0.24285999,0.059609998,,,2025-01-11
TRMB,Trimble Inc.,Technology,Scientific & Technical Instruments,,17150728192,11.744147,24.12515,,0.28913,0.03211,,,2025-01-11
GFS,GLOBALFOUNDRIES Inc.,Technology,Semiconductors,,22636746752,31.030302,23.268232,,0.066479996,0.028719999,,,2025-01-11
BR,"Broadridge Financial Solutions, Inc.",Technology,Information Technology Services,,25886238720,38.31488,23.63937,0.0159,0.31812,0.082679994,,,2025-01-11
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,,415906725888,54.952496,46.855503,0.0047,0.30267,0.0836,,,2025-01-11
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,,29421156352,23.378847,13.952202,0.0166,,0.03175,,,2025-01-11
ON,ON Semiconductor Corporation,Technology,Semiconductors,,22967488512,13.384614,12.860004,,0.2183,0.09557,,,2025-01-11
GNRC,Generac Holdings Inc.,Industrials,Specialty Industrial Machinery,,9367255040,32.8,19.001757,,0.123780005,0.059180003,,,2025-01-11
IVZ,Invesco Ltd.,Financial Services,Asset Management,,7352838656,,8.670076,0.050100002,-0.00944,0.019129999,,,2025-01-11
CINF,Cincinnati Financial Corporation,Financial Services,Insurance - Property & Casualty,,21193189376,6.9671125,18.448217,0.0239,0.25135002,0.07219,,,2025-01-11
INTU,Intuit Inc.,Technology,Software - Application,,174508654592,60.586006,28.235617,0.0061000003,0.16597,0.08039,,,2025-01-11
D,"Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric,,44848132096,19.701107,15.78479,0.05,0.085030004,0.02589,,,2025-01-11
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,,23641831424,6.664815,7.6298337,0.0403,0.26279,0.10674,,,2025-01-11
MRVL,"Marvell Technology, Inc.",Technology,Semiconductors,,98921095168,,41.247974,0.0025,-0.06528,-0.01174,,,2025-01-11
NI,NiSource Inc.,Utilities,Utilities - Regulated Gas,,16818046976,21.969511,19.416586,0.0294,0.08756,0.029679999,,,2025-01-11
VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services,,37933514752,41.51932,36.688717,0.0058,2.65609,0.16983,,,2025-01-11
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,,71695966208,54.66857,24.917763,0.0084,0.10321999,0.02923,,,2025-01-11
KVUE,Kenvue Inc.,Consumer Defensive,Household & Personal Products,,39974871040,37.909092,17.158659,0.039300002,0.098809995,0.065,,,2025-01-11
CTAS,Cintas Corporation,Industrials,Specialty Business Services,,76390883328,45.614456,39.75187,0.0076,0.40462002,0.14961,,,2025-01-11
CNP,"CenterPoint Energy, Inc.",Utilities,Utilities - Regulated Electric,,20320847872,20.786667,17.855814,0.028199999,0.09573,0.027520001,,,2025-01-11
DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,Restaurants,,13893259264,24.758768,22.87389,0.015,,0.31768,,,2025-01-11
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,,70557073408,24.816092,22.61698,0.0232,4.87923,0.16329001,,,2025-01-11
MCHP,Microchip Technology Incorporated,Technology,Semiconductors,,29637580800,38.326385,22.537937,0.033,0.118030004,0.044099998,,,2025-01-11
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,,104593047552,27.87009,24.74484,0.026400002,,0.10503,,,2025-01-11
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,,153219629056,336.30002,140.92947,,0.12409,0.045819998,,,2025-01-11
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,,13600649216,17.754717,11.822796,0.0542,0.1958,0.049450003,,,2025-01-11
